"Time","AvgTemp","AvgDepth","AvgODBA"
"7/12/2013 6:20",28.2,7.15254237288136,0.0499197574576271
"7/12/2013 9:50",28.3,5.69333333333333,0.0541104783333333
"7/13/2013 8:13",28.1,5.51666666666667,0.0665169573333333
"7/11/2013 3:13",28.2616666666667,3.18,0.0784722916666667
"7/11/2013 3:11",28.3,3.735,0.0423391743333333
"7/11/2013 20:09",28.3483333333333,8.93166666666667,0.05743221
"7/11/2013 13:05",29.3694915254237,0.222033898305085,0.0693061640677966
"7/11/2013 9:31",28.1,6.12542372881356,0.0758880779661017
"7/11/2013 0:42",28.2733333333333,8.27,0.04572284
"7/12/2013 15:39",28.4,3.94666666666667,0.04386203
"7/13/2013 22:47",28.7,1.26166666666667,0.0721919551666667
"7/12/2013 4:38",28.2,4.52833333333333,0.0722920343333333
"7/13/2013 1:54",28.1,6.13666666666667,0.055323371
"7/10/2013 22:52",28.8,3.88166666666667,0.0526423865
"7/13/2013 18:05",28.685,3.18,0.0588953853333333
"7/11/2013 2:51",28.2966666666667,0.87,0.0555735493333333
"7/13/2013 6:10",28.1,1.39,0.0533550866666667
"7/13/2013 7:02",28.2,6.33166666666667,0.07824327
"7/11/2013 19:04",28.4,4.43,0.076801882
"7/11/2013 16:41",29.1533333333333,0.626666666666667,0.0554727388333333
"7/12/2013 4:15",28.2,3.00833333333333,0.049197736
"7/12/2013 12:00",28.4,5.53833333333333,0.0566738753333333
"7/10/2013 15:58",29.2,0.258333333333333,0.0388832298333333
"7/13/2013 8:10",28.1,5.11833333333333,0.0602507766666667
"7/12/2013 16:23",28.5,4.81016949152542,0.0537330898305085
"7/12/2013 17:52",28.5,5.02,0.0574373585
"7/11/2013 7:03",28.2,4.84576271186441,0.0532156740677966
"7/13/2013 20:09",28.6,5.90666666666667,0.072867365
"7/12/2013 21:43",28.3,0.541666666666667,0.100271476666667
"7/14/2013 6:57",28.2016666666667,5.94166666666667,0.074633805
"7/11/2013 7:06",28.2,5.61166666666667,0.0672712666666667
"7/11/2013 5:30",28.2,4.78166666666667,0.0503050631666667
"7/13/2013 7:41",28,3.73050847457627,0.0492353016949153
"7/12/2013 23:36",28.4,1.855,0.220100951666667
"7/13/2013 21:53",28.3666666666667,8.31,0.0733240683333333
"7/12/2013 6:02",28.3,4.82666666666667,0.0738519983333333
"7/14/2013 0:18",28.6283333333333,3.56666666666667,0.0575896353333333
"7/12/2013 23:29",28.4,1.02203389830508,0.0953066237288136
"7/10/2013 18:36",28.4762711864407,5.9864406779661,0.0418465749152542
"7/13/2013 16:54",28.4,0.984745762711864,0.0835667755932203
"7/11/2013 12:52",28.6220338983051,1.55932203389831,0.0566111
"7/13/2013 15:26",28.565,3.69333333333333,0.0636352283333333
"7/10/2013 23:19",28.5,2.4,0.356182911666667
"7/12/2013 4:30",28.2,6.85762711864407,0.0640084452542373
"7/10/2013 22:11",29.2898305084746,2.06610169491525,0.0504766547457627
"7/13/2013 0:26",28.2,1.4728813559322,0.0656726644067797
"7/13/2013 14:41",28.6,3.73666666666667,0.0591780595
"7/12/2013 14:28",28.4,6.43666666666667,0.060834569
"7/10/2013 17:58",28.4983333333333,4.315,0.0608604503333333
"7/13/2013 20:31",28.5,5.66833333333333,0.185746258333333
"7/11/2013 15:49",30.628813559322,0.2,0.153351813559322
"7/14/2013 7:26",28.41,4.80166666666667,0.058608246
"7/11/2013 1:32",28.3559322033898,1.90508474576271,0.0397441872881356
"7/13/2013 12:41",28.4,5.215,0.0504928263333333
"7/14/2013 1:08",28.4,6.54666666666667,0.0672499221666667
"7/12/2013 20:46",28.5,4.61333333333333,0.0989615766666667
"7/11/2013 7:54",28.3,3.79666666666667,0.0899952691666667
"7/11/2013 10:52",28.3,0.458333333333333,0.0495031865
"7/12/2013 3:09",28.1,1.88813559322034,0.0824592423728814
"7/12/2013 1:04",28.3,4.52833333333333,0.06263885
"7/11/2013 4:52",28.3,6.155,0.0557810183333333
"7/11/2013 12:32",28.3,0.383050847457627,0.0517280481355932
"7/12/2013 9:04",27.9,7.61694915254237,0.0494900586440678
"7/10/2013 22:55",28.9,2.14166666666667,0.0384948903333333
"7/13/2013 1:56",28.1,7.41186440677966,0.0478625220338983
"7/12/2013 19:58",28.4949152542373,8.93050847457627,0.0613894713559322
"7/10/2013 18:20",28.5,5.585,0.047218962
"7/11/2013 2:55",28.2525423728814,0.772881355932203,0.0606837391525424
"7/11/2013 9:14",28,4.46271186440678,0.0467867347457627
"7/11/2013 4:27",28.1,6.82,0.047480067
"7/10/2013 14:52",31.3881355932203,0.388135593220339,0.0354160171186441
"7/12/2013 14:02",28.6,5.91016949152542,0.0448057369491525
"7/12/2013 6:59",28.2,5.37,0.21899693
"7/11/2013 2:22",28.3,3.66101694915254,0.0418057286440678
"7/11/2013 3:38",28.2616666666667,3.295,0.0329739868333333
"7/11/2013 15:51",29.9066666666667,0.296666666666667,0.0741978541666667
"7/11/2013 5:24",28.2,4.76666666666667,0.0635587215
"7/12/2013 0:18",28.2,2.90169491525424,0.0588832118644068
"7/11/2013 21:29",28.3,5.21,0.0918201266666667
"7/10/2013 19:30",28.7542372881356,4.02881355932203,0.0919908847457627
"7/13/2013 17:09",28.6,3.99666666666667,0.0558417733333333
"7/13/2013 19:17",28.6,5.74833333333333,0.100776063333333
"7/11/2013 11:25",28.3,0.267796610169492,0.0665822915254237
"7/10/2013 19:42",28.5133333333333,4.10333333333333,0.0540025683333333
"7/12/2013 12:46",28.4016666666667,3.78333333333333,0.0832433826666667
